2026-06-29 오후 1:35:53,C2STDD1 2.1,enmAsStandBy,enmAsLoud,False,MAX REL PWR sens. 4
2026-06-29 오후 1:36:11,C2STDD1 2.1,enmAsLoud,enmAsCancelled,False,MAX REL PWR sens. 4
2026-06-29 오후 1:44:51,C2STDD1 2.1,enmAsCancelled,enmAsLoud,False,MAX REL PWR sens. 2
2026-06-29 오후 1:45:33,C2STDD1 2.1,enmAsLoud,enmAsCancelled,False,MAX REL PWR sens. 4
2026-06-29 오후 1:45:43,C2STDD1 2.1,enmAsCancelled,enmAsLoud,False,MAX REL PWR sens. 4
2026-06-29 오후 1:47:27,C2STDD1 2.1,enmAsLoud,enmAsCancelled,False,MAX REL PWR sens. 4
2026-06-29 오후 1:55:52,C2STDD1 2.1,enmAsCancelled,enmAsLoud,False,MAX REL PWR sens. 2
2026-06-29 오후 1:58:18,C2STDD1 2.1,enmAsLoud,enmAsCancelled,False,MAX REL PWR sens. 4
2026-06-29 오후 2:03:42,C2STDD1 2.1,enmAsCancelled,enmAsLoud,False,MAX REL PWR sens. 2
2026-06-29 오후 2:07:38,C2STDD1 2.1,enmAsLoud,enmAsCancelled,False,MAX REL PWR sens. 4
